StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q1,Q3,Q4,Q5,Q6,Q7,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q9
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,Participant ID,"In a couple of words, where did you complete your session of grading?","In a couple of words, what was happening in your environment? I.e. Listening to music, sitting in silence, in a busy cafe, or watching TV.",What time of day did you undertake your grading?,How long did you grade for (in hours)?,How many assignments did you grade?,How were you feeling when grading? - Not rushed,How were you feeling when grading?,How were you feeling when grading? - Neither not rushed or very rushed,How were you feeling when grading?,How were you feeling when grading? - Very rushed,"Did you have any issues, observations or further comments? (Few sentances only)"
"{""ImportId"":""startDate"",""timeZone"":""Europe/London""}","{""ImportId"":""endDate"",""timeZone"":""Europe/London""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/London""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1_TEXT""}","{""ImportId"":""QID2_TEXT""}","{""ImportId"":""QID10_TEXT""}","{""ImportId"":""QID9""}","{""ImportId"":""QID3_TEXT""}","{""ImportId"":""QID4_TEXT""}","{""ImportId"":""QID7_1""}","{""ImportId"":""QID7_2""}","{""ImportId"":""QID7_3""}","{""ImportId"":""QID7_4""}","{""ImportId"":""QID7_5""}","{""ImportId"":""QID8_TEXT""}"
2024-02-26 23:20:19,2024-02-26 23:22:01,IP Address,100,102,True,2024-02-26 23:22:02,R_7bN2xNujIlRdIrR,anonymous,EN-GB,10,Postgraduate office,sitting in silence,Afternoon,1.5,4,,,How rushed did you feel when grading?,,,None currently
2024-02-27 00:51:44,2024-02-27 00:52:56,IP Address,100,72,True,2024-02-27 00:52:57,R_8i4jvrwNjGMmHqV,anonymous,EN-GB,24,at home,listening to music,Night,2.5,1,How rushed did you feel when grading?,,,,,No
2024-02-27 12:19:45,2024-02-27 12:21:57,IP Address,100,131,True,2024-02-27 12:21:57,R_6B2iRMoieyoD306,anonymous,EN-GB,16,I did grading at home,Listening to music,Morning,1,2,How rushed did you feel when grading?,,,,,Software can be laggy some time.
2024-02-27 22:13:28,2024-02-27 22:18:04,IP Address,100,276,True,2024-02-27 22:18:04,R_6wbnuhsAJzEqfJX,anonymous,EN-GB,10,home,sitting in silence,Afternoon,3,5,,How rushed did you feel when grading?,How rushed did you feel when grading?,,,"One suggestion for future java coursework similar to this one: In the coursework spec for students, specify where to put the main class. It will be much easier for examiners to compile their submission package and run the code. "
2024-02-27 19:43:25,2024-02-27 23:18:59,IP Address,100,12934,True,2024-02-27 23:18:59,R_6M6T4jLy0PzKqck,anonymous,EN-GB,6,Home on desk,Listening to podcasts,Night,4,5,,,,How rushed did you feel when grading?,,"By default, there isn't a way to give a 100 for any sections"
2024-02-27 23:44:29,2024-02-27 23:47:43,IP Address,100,194,True,2024-02-27 23:47:44,R_3Eo8tWbEQcAT2mK,anonymous,EN-GB,19,Strand Campus,Sitting in silence,Evening,4,8,,,How rushed did you feel when grading?,,,"The time estimate of 15 mins per assignment is very ambitious if we want to ensure thorough grading, especially when dealing with aspects like elegance. "
2024-02-28 09:42:12,2024-02-28 09:44:48,IP Address,100,156,True,2024-02-28 09:44:48,R_44vcWYkNw4ipJfT,anonymous,EN-GB,5,At home,Silence,Morning,1.5,6,,,How rushed did you feel when grading?,,,
2024-02-28 12:32:05,2024-02-28 12:34:36,IP Address,100,150,True,2024-02-28 12:34:36,R_6LzZj4Y9CG7xVLj,anonymous,EN-GB,6,In bed,Quiet,Morning,3,5,,How rushed did you feel when grading?,,,,
