assignment_number,comments,participant_id,batch,processed_text,Dominant_Topic,Perc_Contribution,Topic_Keywords,All_Topics
18.0,"The core requirements like having 5+ species with predators, prey, plants, gender, and day/night behavior seem met based on the code. The challenge mission was completed well.",15,1,"['core', 'species', 'seem', 'code', 'challenge', 'mission', 'complete']",Code/Compilation,0.74793696,"code, compile, core, run, stable, submission, creative, function, error, seem","[('Code/Compilation', 0.74793696), ('Extension Tasks', 0.12605453), ('Core Tasks', 0.12600845)]"
620.0,"Excellent work on completing all core and challenge tasks. The simulation includes at least 5 acting species (Jaguar, Lion, Cheetah, Gazelle, Zebra), with at least 2 predators (Jaguar, Lion, Cheetah) and 2 non-predators (Gazelle, Zebra). The Lion and Cheetah compete for Gazelles as a shared food source. The species distinguish males and females, requiring them to meet to propagate. Time of day is tracked, with some behaviors differing between day and night. The graphical interface  is impressive! I like the useful buttons provided, especially the ""Reset"" button to easily restart the simulation.",15,1,"['excellent', 'complete', 'core', 'challenge', 'task', 'include', 'least', 'act', 'least', 'jaguar', 'compete', 'gazelle', 'share', 'distinguish', 'require', 'track', 'differ', 'graphical', 'interface', 'impressive', 'useful', 'button', 'provide', 'reset', 'button', 'restart']",Core Tasks,0.7975409,"program, implement, standard, extension, different, provide, attempt, high, influence, spread","[('Core Tasks', 0.7975409), ('Code/Compilation', 0.12002126), ('Extension Tasks', 0.0824378)]"
466.0,"The core requirements like having 5+ species with predators, prey, plants, gender, and day/night behavior seem met based on the code. The challenge mission was completed well.",15,1,"['core', 'species', 'seem', 'code', 'challenge', 'mission', 'complete']",Code/Compilation,0.74793696,"code, compile, core, run, stable, submission, creative, function, error, seem","[('Code/Compilation', 0.74793696), ('Extension Tasks', 0.12605454), ('Core Tasks', 0.12600845)]"
591.0,"The core requirements appear to be mostly implemented based on the code. The simulation includes at least 5 acting species (Wolf, Hawk, Squirrel, Chicken, Frog), with 2 predators (Wolf, Hawk) and 3 non-predators (Squirrel, Chicken, Frog). The Wolf and Hawk compete for Squirrels and Chickens as shared food sources. The species distinguish males and females, requiring them to meet to propagate. Time of day is tracked in hours. The requirements also mention creatures exhibiting different behavior depending on time of day, such as sleeping at night. The time tracking logic is there, but it isn't being used to modify behavior yet.",15,1,"['core', 'appear', 'implement', 'code', 'include', 'least', 'act', 'squirrel', 'chicken', 'frog', 'hawk', 'non', 'hawk', 'squirrel', 'chicken', 'share', 'distinguish', 'require', 'track', 'hour', 'mention', 'creature', 'exhibit', 'different', 'depend', 'sleep', 'track', 'logic', 'use', 'modify']",Core Tasks,0.7697691,"program, implement, standard, extension, different, provide, attempt, high, influence, spread","[('Core Tasks', 0.7697691), ('Code/Compilation', 0.15324143), ('Extension Tasks', 0.0769895)]"
587.0,"Excellent work on completing all core and challenge tasks. Your implementation of the simulation, including at least five different kinds of acting species, competition for food sources, and the distinction of gender for breeding purposes, demonstrates a deep understanding of the project requirements. The addition of day/night cycles and weather effects further enriches the simulation's complexity and realism.",15,1,"['excellent', 'complete', 'core', 'challenge', 'task', 'implementation', 'include', 'least', 'different', 'kind', 'act', 'competition', 'distinction', 'breed', 'purpose', 'demonstrate', 'deep', 'understanding', 'project', 'cycle', 'enrich', 'complexity', 'realism']",Core Tasks,0.56955636,"program, implement, standard, extension, different, provide, attempt, high, influence, spread","[('Core Tasks', 0.56955636), ('Extension Tasks', 0.28843448), ('Code/Compilation', 0.14200917)]"
50.0,"Excellent work on completing all the core tasks and implementing several challenge tasks! The simulation includes at least 5 acting species (Bird, Grass, Frog, GrassHopper, Snake, Hawk, Caterpillar) with multiple predators (Bird, Frog, Snake, Hawk) and non-predators (GrassHopper, Caterpillar). Birds and Frogs compete for GrassHoppers and Caterpillars as shared food sources. The species distinguish males and females, requiring them to meet to propagate. Time of day is tracked, with sleeping behavior differing based on time. Weather effects are impressively modeled - ponds can dynamically generate and evaporate based on rainy or sunny conditions. Plant growth is also tied to weather.",15,1,"['excellent', 'complete', 'core', 'task', 'implement', 'several', 'challenge', 'task', 'include', 'least', 'act', 'bird', 'frog', 'snake', 'hawk', 'caterpillar', 'multiple', 'hawk', 'non', 'grasshopper', 'caterpillar', 'bird', 'frog', 'compete', 'grasshopper', 'caterpillar', 'share', 'distinguish', 'require', 'track', 'sleep', 'differ', 'model', 'pond', 'generate', 'evaporate', 'rainy', 'sunny', 'condition', 'tie']",Core Tasks,0.78924716,"program, implement, standard, extension, different, provide, attempt, high, influence, spread","[('Core Tasks', 0.78924716), ('Code/Compilation', 0.12646492), ('Extension Tasks', 0.08428797)]"
655.0,"All base tasks are completed, with at least five different acting species (Zebra, Giraffe, Lemur, Lion, Cheetah), including two predators (Lion, Cheetah) and non-predators. The Lion and Cheetah compete for the same food sources. Genders are distinguished and creatures can only propagate when a male and female meet. Time of day is tracked and some creatures exhibit different behaviors at night. The student also implemented weather as a challenge task which influences animal behavior.",15,1,"['task', 'complete', 'least', 'different', 'acting', 'include', 'distinguish', 'creature', 'track', 'creature', 'exhibit', 'different', 'implement', 'challenge', 'task', 'influence']",Core Tasks,0.80446357,"program, implement, standard, extension, different, provide, attempt, high, influence, spread","[('Core Tasks', 0.80446357), ('Extension Tasks', 0.09912201), ('Code/Compilation', 0.09641444)]"
47.0,"The simulation appears to be working as described in the assignment. All base tasks are completed, including at least 5 acting species (Tiger, Lion, Hyena, Antelope, Zebra), with at least 2 predators (Tiger, Lion, Hyena) and 2 non-predators (Antelope, Zebra). Tigers and Lions compete for Antelopes as a shared food source. The species distinguish males and females, requiring them to meet to propagate. Time of day is tracked, with some behaviors differing between day and night (e.g. some animals sleep at night). Multiple challenging extension tasks were implemented as well, including plants that grow and can be eaten by some animals, weather that changes and impacts animal behavior and plant growth, and disease that can spread between animals. The graphical simulation interface looks great and provides useful stats.",15,1,"['appear', 'describe', 'task', 'complete', 'include', 'least', 'act', 'tiger', 'zebra', 'least', 'tiger', 'zebra', 'tiger', 'lion', 'compete', 'antelope', 'share', 'distinguish', 'require', 'track', 'differ', 'sleep', 'multiple', 'challenge', 'extension', 'task', 'implement', 'include', 'grow', 'eat', 'change', 'impact', 'spread', 'graphical', 'interface', 'look', 'great', 'provide', 'useful', 'stat']",Core Tasks,0.76614964,"program, implement, standard, extension, different, provide, attempt, high, influence, spread","[('Core Tasks', 0.76614964), ('Extension Tasks', 0.16681933), ('Code/Compilation', 0.067030996)]"
262.0,"The core requirements like having 5+ species with predators, prey, plants, gender, and day/night behavior seem met based on the code. The challenge mission was completed well.",15,1,"['core', 'species', 'seem', 'code', 'challenge', 'mission', 'complete']",Code/Compilation,0.74793696,"code, compile, core, run, stable, submission, creative, function, error, seem","[('Code/Compilation', 0.74793696), ('Extension Tasks', 0.12605456), ('Core Tasks', 0.12600847)]"
2.0,"Excellent work on completing all core and challenge tasks. Your implementation of the simulation, including at least five different kinds of acting species, competition for food sources, and the distinction of gender for breeding purposes, demonstrates a deep understanding of the project requirements. But the Fox and Rabbit was not replaced with different kinds of predators and prey in the basic mission. The addition of day/night cycles and weather effects further enriches the simulation's complexity and realism.",15,1,"['excellent', 'complete', 'core', 'challenge', 'task', 'implementation', 'include', 'least', 'different', 'kind', 'act', 'competition', 'distinction', 'breed', 'purpose', 'demonstrate', 'deep', 'understanding', 'project', 'fox', 'replace', 'different', 'kind', 'basic', 'mission', 'cycle', 'enrich', 'complexity', 'realism']",Core Tasks,0.54812473,"program, implement, standard, extension, different, provide, attempt, high, influence, spread","[('Core Tasks', 0.54812473), ('Extension Tasks', 0.3215602), ('Code/Compilation', 0.13031504)]"
