assignment_number,skill,participant_id,batch,comments
358.0,Readability,15,1,The code is generally clean and organized with consistent indentation and spacing. Meaningful variable and method names are used.
358.0,Correctness,15,1,"All of the base tasks are completed - the simulation has at least 5 species (rabbits, foxes, plants, squirrels, nuts, vultures, mice). Males and females are distinguished, requiring them to meet to propagate. Time of day is tracked, with some creatures like rabbits and squirrels unable to move at night. However, a few details are missing - the original Fox and Rabbit classes were used rather than being replaced by different predator/prey species as specified. No challenge tasks like weather or disease simulation were attempted."
358.0,Code Elegance,15,1,"The code demonstrates good use of classes and functions, producing fairly reusable and maintainable code. Inheritance is used effectively with base Animal class. The code is readable and understandable without being overly complex."
358.0,Documentation,15,1,"Most classes and functions have clear, useful comments explaining their purpose. A few more inline comments explaining complex logic would be helpful."
160.0,Readability,24,1,The student used indentation appropriately and consistently to delineate code blocks
160.0,Correctness,24,1,"The application works as described in the assignment, although some minor issues have been encountered in the application."
160.0,Code Elegance,24,1,The code is fairly efficient without sacrificing readability and understanding.
160.0,Documentation,24,1,The documentation consists od comments that are some-what useful in understanding the code.
686.0,Readability,28,2,The code is presented well with good consistent naming conventions and formatting. Appropriate access modifiers are used throughout
686.0,Correctness,28,2,The student has met all baseline requirements and has implemented some of the challenge extensions including weather-based behaviours and plants. 
686.0,Code Elegance,28,2,"The code is structured reasonably well, however, some improvements could be made. For example, the weather types should be an enum rather than an int assigned by methods. The common methods for animals should be placed in superclasses such as predator, prey. The plant class should have its own subtype and specific plant instances."
686.0,Documentation,28,2,"The code documentation is good overall, however, is inconsistent in places. In particular some methods are not annotated with inputs and output descriptions whilst others are"
681.0,Readability,8,2,
681.0,Correctness,8,2,
681.0,Code Elegance,8,2,
681.0,Documentation,8,2,
144.0,Readability,3,1,"The codebase demonstrates a high level of organisation, consistent indentation, and meaningful identifier names."
