skill,comments,count
Code Elegance,"effective use of object-oriented principles, easy maintainability and reusability.",38
Code Elegance,"methods are reusable and readable, but some code repetition",13
Code Elegance,the design could have been better.,13
Code Elegance,"it is good, though there are little problems here and there.",11
Code Elegance,solid implementation of both core and challenge classes. very appropriate approaches taken.,11
Code Elegance,the code is well written but could provide better reusability by moving more shared variables and functions up the inheritance tree.,11
Code Elegance,the code have a good use of classed and functions and nicely laid out.,10
Code Elegance,appropriate approaches taken for the implementation of the tasks.,9
Code Elegance,"code could be re-used, but more could be done to make it re-usable. code is maintainable.",9
Code Elegance,all the base tasks and some of the challenge tasks are implemented in such a way that code can be reused where possible;,7
Code Elegance,the majority of the code is written in such a way that code can be reused,6
Code Elegance,appropriate approaches taken to implementation of both core and challenge classes. very readable.,5
Code Elegance,code can be re-used. code is maintainable.,5
Code Elegance,better than others.,4
Code Elegance,code is written in a reusable manner by utilising abstract classes and loosely coupling components,4
Code Elegance,combines functionality with simplicity,4
Code Elegance,excellent use of classes and functions. efficient code.,4
Code Elegance,"good use of abstraction, and appropriate class hierarchy. could avoid lots of repetition by using private variables in superclasses and implementing getters within them. decent application of qualifiers to class fields and methods.",4
Code Elegance,"high clarity, simplicity, and efficiency.",4
Code Elegance,making it highly readable and understandable,4
Code Elegance,some efforts have been put into this project.,4
Code Elegance,"student demonstrates excellent use of classes and functions to produce reusable and maintainable code, where possible, in the base and all of the challenge tasks",4
Code Elegance,the code can be made more extensible by employing abstraction and increasing its modularity.,4
Code Elegance,a lot of code has been repeated through the implementation for each of the animal implementations.  it is more sensible to extract these codes and provide abstract methods to override such behavior.,3
Code Elegance,base and challenge tasks are efficiently implemented and remain perfectly readable and maintanable.,3
Code Elegance,code can be re-used. code is maintainable. excellent use of abstract classes.,3
Code Elegance,code can be re-used. code is maintainable. good use of abstract classes.,3
Code Elegance,"code could make use of abstract classes to improve extensibility and breakdown longer functions into smaller, modular functions",3
Code Elegance,"code is well written. abstractions are appropriately used to make code neat and well structured, and functions are appropriately broke down into well sized units. ",3
Code Elegance,"lots of repeated code, could have implemented the act functions in the animal class, same goes for givebirth and findfood. some functions are very long and should break them down.",3
Code Elegance,"the code follows good object-oriented design patterns, with a logical separation of concerns between classes. the base animal class encapsulates shared functionality. the individual creature classes inherit from animal and define their unique properties and behaviors. constants are used effectively to avoid magic numbers. there are opportunities to further refactor some of the duplicated logic between creature classes.",3
Code Elegance," good modularity, reusability, and encapsulation ",2
Code Elegance, it demonstrates a mastery of coding with clarity and precision.,2
Code Elegance,a good use of classed and functions and nicely laid out.,2
Code Elegance,"abstraction could go further, e.g. some methods within the animal classes could be within the class animal",2
Code Elegance,abstraction present in class structure however this is poorly utilised.,2
Code Elegance,advanced class structure implemented. there are one or two methods which could be-rewritten for generality in higher classes.,2
Code Elegance,all of the base tasks and some of the challenge tasks are implemented in such a way that code can be reused.,2
Code Elegance,basic abstraction class structure however this is well utilised with lots of methods residing in the animal class.,2
Code Elegance,clean separation of concerns across classes.,2
Code Elegance,code is resuseable,2
Code Elegance,concepts of the module well utilised,2
Code Elegance,easy to follow and maintain.,2
Code Elegance,"features are generally implemented in reusable ways using techniques such as polymorphism and inheritance. extensive knowledge of java allows this student to reduce repeated code segments. furthermore, good class design for cohesive classes. ",2
Code Elegance,"good code reusability, some functions are very long; should break them down. ",2
Code Elegance,good level of abstraction,2
Code Elegance,"inheritance is not fully made use of, with a lot of code duplication where not necessary.",2
Code Elegance,"inheritance was used well, but instances of code duplication in the same file could've been reduced.",2
Code Elegance,"lots of repeated code, could have implemented the act functions in the animal class, same goes for givebirth and findfood. some functions are very long; should break them down. ",2
Code Elegance,many features lack flexibility or are implemented in ways that are repeated in every class. these could be extracted to a more generic class such as animal.,2
Code Elegance,many segments could be rewritten to improve re-usability,2
Code Elegance,may be useful to have superclass for preys and predators to better differentiate between them,2
Code Elegance,"methods are reusable and readable, but some code repetition  and class redundancy",2
Code Elegance,"most methods in animal classes are repeatedly defined, so perhaps some sort of inheritance can be included in. there is some misuse of the visibility of methods. also would be quite hard to extend features for different diseases.",2
Code Elegance,no attempt made,2
Code Elegance,not bad for a student. terrible for a professional.,2
Code Elegance,"refreshingly simple and concise, yet effective code. good use of class structures and qualifications. abstractions are clear where they are used and are justified.",2
Code Elegance,"some abstraction present but there remains much more that could be achieved, e.g. more common methods in the animal class.",2
Code Elegance,some levels of abstraction ,2
Code Elegance,the application is implemented in such a way that only a few code segments can be rewritten to increase code re-usability,2
Code Elegance,the application is unnecessarily complex,2
Code Elegance,"the code is broken out into many separate classes for each species and simulation component, enabling decent modularity and reuse. the logic could likely be simplified in places, but overall the design and efficiency are reasonable without overly sacrificing readability.",2
Code Elegance,the code is well written.,2
Code Elegance,"the student demonstrate excellent use of classes and functions to produce reusable and maintainable code, the only downside would be decoupling the weather functionality from the simulator as a separate class.",2
